City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (°C),Wind Speed (km-h)
Mataura,91,NZ,1588641815,85,-46.19,168.86,6.69,15.4
Ushuaia,5,AR,1588641657,56,-54.8,-68.3,7.0,40.7
Dombarovskiy,0,RU,1588641816,48,50.76,59.54,9.05,9.6
Talnakh,1,RU,1588641816,85,69.49,88.4,-11.0,36.0
Hong Kong,40,HK,1588641805,70,22.29,114.16,29.0,18.4
Tuatapere,74,NZ,1588641817,76,-46.13,167.68,7.37,22.4
Hithadhoo,100,MV,1588641665,75,-0.6,73.08,29.13,23.9
Touros,40,BR,1588641819,100,-5.2,-35.46,24.0,5.4
Jiaojiang,100,CN,1588641819,80,28.68,121.44,22.22,9.1
Torbay,75,CA,1588641820,86,47.67,-52.73,2.22,5.4
Ambon City,20,ID,1588641820,74,-3.7,128.18,30.0,5.4
Vardø,75,NO,1588641821,81,70.37,31.11,2.0,31.3
Te Anau,88,NZ,1588641745,76,-45.42,167.72,6.04,9.6
Alofi,20,NU,1588641822,74,-19.06,-169.92,29.0,9.4
Butaritari,100,KI,1588641823,82,3.07,172.79,28.37,23.5
Blackfoot,20,US,1588641823,19,43.19,-112.34,16.0,25.9
Pedasí,72,PA,1588641824,78,7.53,-80.03,28.57,21.7
Saskylakh,98,RU,1588641825,93,71.92,114.08,-14.07,21.0
Busselton,65,AU,1588641826,67,-33.65,115.33,17.22,34.7
Dikson,73,RU,1588641826,86,73.51,80.55,-13.72,8.8
Rikitea,100,PF,1588641827,73,-23.12,-134.97,23.02,24.5
Coldwater,1,US,1588641827,57,41.94,-85.0,12.22,9.4
Khatanga,9,RU,1588641828,92,71.97,102.5,-15.28,24.4
East London,0,ZA,1588641830,74,-33.02,27.91,17.41,8.5
Hobart,40,AU,1588641635,66,-42.88,147.33,14.44,16.6
Kidal,26,ML,1588641831,27,18.44,1.41,29.13,14.3
Chokurdakh,100,RU,1588641831,97,70.63,147.92,-5.49,6.1
Vestmannaeyjar,77,IS,1588641832,83,63.44,-20.27,7.62,42.4
Jamestown,75,US,1588641832,80,42.1,-79.24,5.56,29.5
Rio Grande,100,BR,1588641649,94,-32.03,-52.1,16.67,5.5
Esperance,75,AU,1588641834,82,-33.87,121.9,19.0,11.2
Vaini,40,TO,1588641834,70,-21.2,-175.2,29.0,11.2
Hilo,90,US,1588641553,54,19.73,-155.09,28.0,16.6
Barrow,90,US,1588641836,85,71.29,-156.79,-9.0,22.3
Batagay,4,RU,1588641836,88,67.63,134.63,-1.78,1.6
Makkah al Mukarramah,1,SA,1588641837,26,21.43,39.83,24.99,4.8
Jumla,99,NP,1588641837,30,29.27,82.18,10.56,5.9
Pho Chai,39,TH,1588641838,74,16.33,103.77,31.0,7.6
Gunjur,73,GM,1588641839,88,13.2,-16.73,22.0,9.4
Tiksi,100,RU,1588641839,96,71.69,128.87,-5.85,13.6
Albany,3,US,1588641840,52,42.6,-73.97,8.89,16.5
Husavik,4,IS,1588641840,45,66.04,-17.34,9.0,107.3
Bambous Virieux,20,MU,1588641841,83,-20.34,57.76,23.0,9.4
